ID,Credit_Score,Employment,Debt_Level,Default
1,Fair,Employed,High,1
2,Fair,Employed,Medium,0
3,Good,Employed,Low,0
4,Fair,Employed,Medium,0
5,Poor,Unemployed,Low,1
6,Good,Employed,High,1
7,Good,Employed,Medium,0
8,Good,Employed,Low,0
9,Good,Unemployed,Medium,0
10,Poor,Employed,Low,1
11,Poor,Employed,Low,0
12,Poor,Employed,Medium,0
13,Good,Employed,Low,1
14,Poor,Unemployed,Medium,1
15,Poor,Employed,Low,1
16,Poor,Unemployed,High,1
17,Fair,Unemployed,Low,1
18,Good,Employed,Low,0
19,Fair,Employed,Medium,0
20,Good,Unemployed,Medium,1
21,Poor,Employed,Medium,1
22,Good,Employed,Medium,1
23,Fair,Employed,Low,0
24,Fair,Employed,High,1
