Instance,Weather,Temperature,Wind,PlayTennis
1,Cloudy,Cold,Weak,Yes
2,Cloudy,Hot,Weak,No
3,Cloudy,Hot,Weak,Yes
4,Cloudy,Hot,Strong,No
5,Sunny,Cold,Weak,Yes
6,Sunny,Cold,Strong,No
7,Sunny,Hot,Weak,No
8,Rainy,Hot,Weak,No
9,Sunny,Cold,Weak,Yes
10,Rainy,Hot,Strong,No
11,Cloudy,Hot,Weak,Yes
12,Rainy,Cold,Strong,Yes
13,Cloudy,Hot,Weak,No
14,Cloudy,Hot,Strong,Yes
15,Sunny,Cold,Strong,No
16,Sunny,Cold,Strong,Yes
17,Cloudy,Hot,Strong,No
18,Cloudy,Hot,Weak,No
19,Rainy,Cold,Weak,No
20,Sunny,Hot,Strong,No
21,Rainy,Hot,Weak,No
22,Cloudy,Cold,Strong,Yes
23,Cloudy,Cold,Weak,Yes
24,Cloudy,Cold,Strong,Yes
